Number,Reaction,(E/R)/K,E/kcal mol⁻¹,E/KJ mol⁻¹,A,k,n,Temp./K,Radical Source,System,Reference,Notes,Reference_Text
141,2NO+Br₂→2NOBr,,1.6,6.7,1.10E-37,,,265-288,NO/Br₂,(T),"41,44",,"Trotman-Dickenson, A. F., Gas Kinetics, Butterworths, London, 1955, 265, Krauss, W., Z. Phys. Chem., Abt. A., 175, 295, 1936."
142,2NO+Br₂→2NOBr,,0.57,2.39,6.93E-38,,,263-333,NO/Br₂,(T),40,,"Hisatsune, I. C. and Zafonte, L., J. Phys. Chem., 73, 2980, 1969."
143,2NO+Br₂→2NOBr,,,,,2.63E-38,0,298,NO/Br₂,(T),40,,"Hisatsune, I. C. and Zafonte, L., J. Phys. Chem., 73, 2980, 1969."
144,2NO+Br₂→2NOBr,,,,,2.69E-38,0,303,NO/Br₂/Cl₂,(T),40,,"Hisatsune, I. C. and Zafonte, L., J. Phys. Chem., 73, 2980, 1969."
145,2NO+Br₂→2NOBr,,,,,"[1.2897281982E-38,8.7196327772E-38]",0,275-363,Br₂/NO,(T),40a,,"Hovel, N. and van der Bergh, H., Int. J. Chem. Kinet., 9, 871, 1977."
146,2NO+H₂→Products,,47,196,1.38E-29,,,973-1098,NO/H₂,(T),"41,45",,"Trotman-Dickenson, A. F., Gas Kinetics, Butterworths, London, 1955, 265, Hinshelwood, C. N. and Mitchell, J. W., J. Chem. Soc., 378, 1936."
147,NO+NO₂+O₃→NO₂+NO₃,,,,,1.82E-40,0,298,NOCl/NO₂/O₂,(T),47,,"Schott, G. and Davidson, N., J. Am. Chem. Soc., 80, 1841, 1958."
148,NO+NO₂+O₃→NO₂+NO₃,,,,,8.52E-41,0,,,,47,38a,"Schott, G. and Davidson, N., J. Am. Chem. Soc., 80, 1841, 1958."
149,NO+NO₂+O₃→NO₂+NO₃,,-0.96,-4.01,5.76E-41,,,473-703,NO₂,(T),48,39,"Ashmore, P. G. and Burnett, M. G., Trans. Faraday Soc., 58, 253, 1962."
150,2NO₂+O₂→2NO₃,,25,105,,,,300,,,47,40,"Schott, G. and Davidson, N., J. Am. Chem. Soc., 80, 1841, 1958."
151,S₂+S₂+CO₂→S₄+CO₂,,,,,2.51E-30,0,294,H₂S/CO₂,(F.P.),49,40,"Langford, R. B. and Oldershaw, G. A., J. Chem. Soc., Faraday Trans. 1, 68, 1550, 1972."
152,S₂+S₂+CO₂→S₄+CO₂,,,,,1.00E-29,0,293,OCS/CO₂,(F.P.),50,,"Langford, R. B. and Oldershaw, G. A., J. Chem. Soc., Faraday Trans. 1, 69, 1389, 1973."
153,CF₃NO+2NO→CF₃+N₂+NO₃,,,,,1.55E-42,0,297,CF₃I/NO,(P),51,41,"Heicklen, J., J. Phys. Chem., 70, 112, 1966."
154,CF₃NO+2NO→CF₃+N₂+NO₃,,2.2,9.2,4.79E-41,,,298-333,CF₃NO/NO,,64,42,"Christie, M. I. and Matthews, C. J., J. Chem. Soc., Faraday Trans. 1, 72, 1652, 1976."
155,CH₃NO+2NO→CH₃+N₂+NO₃,,-1.8,-7.52,7.09E-42,,,298-343,CH₃I/NO,(P),52,42,"Christie, M. I., Frost, J. S., and Voisey, M. A., Trans. Faraday Soc., 61, 674, 1965."
156,CH₃NO+2NO→CH₃+N₂+NO₃,,,,,1.29E-40,0,298,CH₃I/NO,(P),53,,"Johnston, H. S. and Heicklen, J., J. Phys. Chem., 70, 3088, 1966."
157,C₂H₅NO+2NO→C₂H₅+N₂+NO₃,,-2.9,-12.1,5.25E-42,,,298-343,C₂H₅I/NO,(P),52,48,"Christie, M. I., Frost, J. S., and Voisey, M. A., Trans. Faraday Soc., 61, 674, 1965."
158,CH₃CH₂CH₂NO+2NO→CH₃CH₂CH₂+N₂+NO₃,,-7,-29,1.38E-44,,,298-318,C₃H₇I/NO,(P),52,43,"Christie, M. I., Frost, J. S., and Voisey, M. A., Trans. Faraday Soc., 61, 674, 1965."
159,(CH₃)₂CHNO+2NO→(CH₃)₂CH+N₂+NO₃,,-4,-17,5.50E-43,,,298-318,i-C₃H₇I/NO,(P),52,,"Christie, M. I., Frost, J. S., and Voisey, M. A., Trans. Faraday Soc., 61, 674, 1965."
160,(CH₃)₂CHNO+2NO→(CH₃)₂CH+N₂+NO₃,,-7.5,-31.4,,,,298-343,t-C₃H₇I/NO,(P),52,43,"Christie, M. I., Frost, J. S., and Voisey, M. A., Trans. Faraday Soc., 61, 674, 1965."
161,2CH₃O₂NO+O₂→2CH₃ONO₂+O₂,,,,,3.55E-48,0,298,(CH₃)₂N₂/NO/N₂,(P),54,43,"Spicer, C. W., Villa, A., Wiebe, H. A., and Heicklen, J., J. Am. Chem. Soc., 95, 13, 1973."
162,H+F+Ar → HF+Ar,-17680,,,2.00E-35,,,3500-6000,,,77,43,"Baulch, D. L., Duxbury, J., Grant, S. J., and Montague, D. C., J. Phys. Chem. Ref. Data, 10, Suppl. 1, 1981."
163,H+Cl+M → HCl+M,,,,,<9.5608872185E-32,0,1650-1900,,,73,44,"Fristrom, R. M. and Van Tiggelen, P., Symp. (Int.) Combust.. [Proc.]. 17. 773, 1979."
164,H+Cl+Ar → HCl+Ar,-9940,,,7.25E-35,,,2900-7000,,,77,58,"Baulch, D. L., Duxbury, J., Grant, S. J., and Montague, D. C., J. Phys. Chem. Ref. Data, 10, Suppl. 1, 1981."
165,H+Br+M → HBr+M,,,,,<8.7196327772E-31,0,1650-2050,,,73,61,"Fristrom, R. M. and Van Tiggelen, P., Symp. (Int.) Combust.. [Proc.]. 17. 773, 1979."
166,H+Br+He → HBr+He,,,,,5.29E-27,-1.87,200-600,,,77,59,"Baulch, D. L., Duxbury, J., Grant, S. J., and Montague, D. C., J. Phys. Chem. Ref. Data, 10, Suppl. 1, 1981."
167,H+I+M → HI+M,,,,,<8.7196327772E-31,0,1650-1950,,,73,61,"Fristrom, R. M. and Van Tiggelen, P., Symp. (Int.) Combust.. [Proc.]. 17. 773, 1979."
168,N+N+N₂ → N₂+N₂,,,,,7.25E-33,0,293,N₂ Discharge,Direct,69,59,"Yamashita, T., J. Chem. Phys., 70, 4248, 1979."
169,N+N+Cl₂ → N₂+Cl₂,,,,,1.32E-31,0,Room Temp.,N₂ Discharge,Direct,74,61,"Emel'kin, V. A. and Marusin, V. V., Kinet. Katal., 19, 1389, 1978."
170,F+F+Ar → F₂+Ar,-3190,,,8.92E-40,,,1400-2600,,,77,59,"Baulch, D. L., Duxbury, J., Grant, S. J., and Montague, D. C., J. Phys. Chem. Ref. Data, 10, Suppl. 1, 1981."
171,Cl+Cl+Ar → Cl₂+Ar,,,,,5.02E-34,0,298,Cl₂ Discharge,Direct,75,53,"Clyne, M. A. A. and Smith, D. J., J. Chem. Soc., Faraday Trans. 2. 75, 704, 1979."
172,Cl+Cl+Ar → Cl₂+Ar,-906,,,6.17E-34,,,195-520,,,77,49,"Baulch, D. L., Duxbury, J., Grant, S. J., and Montague, D. C., J. Phys. Chem. Ref. Data, 10, Suppl. 1, 1981."
173,Cl+Br+Ar → ClBr+Ar,,,,,4.47E-34,0,298,Cl₂ Discharge; Cl+Br₂→Br+BrCl,Direct,75,61,"Clyne, M. A. A. and Smith, D. J., J. Chem. Soc., Faraday Trans. 2. 75, 704, 1979."
174,Br+Br+He → Br₂+He,,,,,4.27E-33,0,Room Temp.,Br₂ (F.P.),Direct,66,49,"Hippler, H., Luu, S. H., Teitelbaum, H., and Troe, J., Int. J. Chem. Kinet... 10, 155, 1978."
175,Br+Br+Ar → Br₂+Ar,,,,,2.57E-34,0,298,Cl+Br₂→Br+BrCl,Direct,75,61,"Clyne, M. A. A. and Smith, D. J., J. Chem. Soc., Faraday Trans. 2. 75, 704, 1979."
176,Br+Br+Ar → Br₂+Ar,-856,,,6.46E-34,,,290-2000,,,77,49,"Baulch, D. L., Duxbury, J., Grant, S. J., and Montague, D. C., J. Phys. Chem. Ref. Data, 10, Suppl. 1, 1981."
177,I+I+Ar → I₂+Ar,,,,,4.37E-33,0,360,I₂ (F.P.),Direct,71,50,"Semenov, S.Yu., Shafranovskii, E. A., Grishin, V. D., and Tal'roze, V. L., Dokl. Akad. Nauk. SSSR., 225, 1177, 1980."
178,I+I+Ar → I₂+Ar,-754,,,6.46E-34,,,290-12500,,,77,49,"Baulch, D. L., Duxbury, J., Grant, S. J., and Montague, D. C., J. Phys. Chem. Ref. Data, 10, Suppl. 1, 1981."
179,I+I+N₂ → I₂+N₂,,,,,1.10E-32,0,360,I₂ (F.P.),Direct,71,61,"Semenov, S.Yu., Shafranovskii, E. A., Grishin, V. D., and Tal'roze, V. L., Dokl. Akad. Nauk. SSSR., 225, 1177, 1980."
180,I+I+I₂ → I₂+I₂,,,,,1.41E-36,0,360,I₂ (F.P.),Direct,71,57,"Semenov, S.Yu., Shafranovskii, E. A., Grishin, V. D., and Tal'roze, V. L., Dokl. Akad. Nauk. SSSR., 225, 1177, 1980."
181,I+I+CO₂ → I₂+CO₂,,,,,2.19E-32,0,360,I₂ (F.P.),Direct,71,61,"Semenov, S.Yu., Shafranovskii, E. A., Grishin, V. D., and Tal'roze, V. L., Dokl. Akad. Nauk. SSSR., 225, 1177, 1980."
182,I+I+SF₆ → I₂+SF₆,,,,,8.33E-33,0,346,I₂ (F.P.),Direct,76,57,"Zellweger, J. M. and Van den Bergh, H., J. Chem. Phys.. 72. 5405, 1980."
183,I+I+c-C₃H₆ → I₂+c-C₃H₆,,,,,1.00E-33,0,346,I₂ (F.P.),Direct,76,57,"Zellweger, J. M. and Van den Bergh, H., J. Chem. Phys.. 72. 5405, 1980."
184,I+I+n-C₄H₁₀ → I₂+n-C₄H₁₀,,,,,3.72E-33,0,336-346,I₂ (F.P.),Direct,76,57,"Zellweger, J. M. and Van den Bergh, H., J. Chem. Phys.. 72. 5405, 1980."
185,I+I+neo-C₅H₁₂ → I₂+neo-C₅H₁₂,,,,,1.18E-33,0,355,I₂ (F.P.),Direct,76,60,"Zellweger, J. M. and Van den Bergh, H., J. Chem. Phys.. 72. 5405, 1980."
186,I+I+neo-C₅H₁₂ → I₂+neo-C₅H₁₂,,,,,3.72E-33,0,380,I₂ (F.P.),Direct,76,60,"Zellweger, J. M. and Van den Bergh, H., J. Chem. Phys.. 72. 5405, 1980."
187,I+I+i-C₃F₇I → I₂+i-C₃F₇I,-1360,,,5.76E-33,1.32E-22,-3.4,300-455,I₂ (F.P.),Direct,70,60,"Skorobogatov, G. A., Dimov, B. P., and Khomenko, V. E., Chem. Phys.. 42, 73, 1979."
188,I+I+i-C₅F₁₁I → I₂+i-C₅F₁₁I,-1300,,,5.90E-33,5.79E-23,-3.2,304-463,I₂ (F.P.),Direct,70,60,"Skorobogatov, G. A., Dimov, B. P., and Khomenko, V. E., Chem. Phys.. 42, 73, 1979."
189,I+I*+n-C₃F₇I → II*+n-C₃F₇I,,,,,1.10E-32,0,Room Temp.,n-C₃F₇I (P),Direct,78,60,"Stephan, K.-H. and Comes, F. J., Chem. Phys. Lett., 65, 251, 1979."
190,S+S+H₂S → S₂+H₂S,,,,,1.20E-29,0,295,H₂S (Pulse Radiolysis),See Notes,68,"54,55","Nicholas, J. E., Amodio, C. A., and Baker, M. J., J. Chem. Soc., Faraday Trans. 1. 75. 1868, 1979."
191,Mg+F+Ar → MgF+Ar,,,,,1.05E-35,1,873-1073,See Notes,See Notes,67,"54,57","Kuznetsov, V. A. and Kashireninov, O. E., Zh. Fiz. Khim., 52, 355, 1978."
192,Mg+F+Ar → MgF+Ar,<=1000,,,,,,873-1073,See Notes,See Notes,80,62,"Kuznetsov, V. A. and Kashireninov, O. E., Zh. Fiz. Khim., 52, 355, 1978."
193,H+H+He → H₂+He,,,,,1.20E-32,0,77,H₂ (T),,79,64,"Trainer, D. W., Ham, D. O., and Kaufman, F., J. Chem. Phys., 58, 4599, 1973."
194,H+H+He → H₂+He,,,,,5.90E-33,0,298,H₂ discharge,,80,64,"Bennett, J. E. and Blackmore, D. R., Chem. Comm., 1521, 1968."
195,H+H+Ar → H₂+Ar,,,,,2.76E-33,0,1300,H₂/O₂ (S.T.),,81,62,"Mallard, W. G. and Owen, J. H., Int. J. Chem. Kinet., 6, 753, 1974."
196,H+H+Ar → H₂+Ar,,,,,2.76E-33,0,1700,H₂/O₂ (S.T.),,81,62,"Mallard, W. G. and Owen, J. H., Int. J. Chem. Kinet., 6, 753, 1974."
197,H+H+Ar → H₂+Ar,,,,,2.76E-32,0,77,H₂ (T),,79,63,"Trainer, D. W., Ham, D. O., and Kaufman, F., J. Chem. Phys., 58, 4599, 1973."
198,H+H+Ar → H₂+Ar,,,,,1.78E-30,-1,1700,,,82,65,"Baulch, D. L., Drysdale, D. D., Horne, D. G., and Lloyd, A. C., Evaluated Kinetic Data for High Temperature Reactions, Vol. 1, Butterworths, Lon- don, 1972."
199,H+H+Ar → H₂+Ar,,,,,1.78E-30,-1,5000,,,82,65,"Baulch, D. L., Drysdale, D. D., Horne, D. G., and Lloyd, A. C., Evaluated Kinetic Data for High Temperature Reactions, Vol. 1, Butterworths, Lon- don, 1972."
200,H+H+H₂ → H₂+H₂,,,,,1.86E-32,0,77,H₂ (T),,79,63,"Trainer, D. W., Ham, D. O., and Kaufman, F., J. Chem. Phys., 58, 4599, 1973."
201,D+D+D₂ → D₂+D₂,,,,,6.17E-33,0,298,D₂ (T),,79,63,"Trainer, D. W., Ham, D. O., and Kaufman, F., J. Chem. Phys., 58, 4599, 1973."
202,D+D+D₂ → D₂+D₂,,,,,1.52E-32,0,77,D₂ (T),,79,63,"Trainer, D. W., Ham, D. O., and Kaufman, F., J. Chem. Phys., 58, 4599, 1973."
203,H+N+M → HN+M,,,,,3.09E-32,0,294,H₂/N₂ Discharges,,83,64,"Brown, R. L., Int. J. Chem. Kinet., 5, 663, 1973."
204,H+N+M → HN+M,,,,,6.46E-32,0,294,H₂/N₂ Discharges,,83,64,"Brown, R. L., Int. J. Chem. Kinet., 5, 663, 1973."
205,N+N+N₂ → N₂+N₂,,,,,1.41E-32,0,293,N₂ Discharge,,85,62,"Avramenko, L. I. and Krasnen'kov, V. M., Izv. Akad. Nauk SSSR, Ser. Khim., 7, 1095, 1963 (English)."
206,N+N+N₂ → N₂+N₂,,,,,1.41E-32,0,573,N₂ Discharge,,85,62,"Avramenko, L. I. and Krasnen'kov, V. M., Izv. Akad. Nauk SSSR, Ser. Khim., 7, 1095, 1963 (English)."
207,N+O+N₂ → NO+N₂,,,,,1.07E-32,0,273,,,86,65,"Baulch, D. L., Drysdale, D. D., Horne, D. G., and Lloyd, A. C., High Temperature Reaction Rate Data, Vol. 4, University of Leeds, 1969."
208,N+O+N₂ → NO+N₂,,,,,1.20E-32,0,196,,,87,62,"Campbell, I. M. and Gray, N. C., Chem. Phys. Lett., 18, 607, 1973."
209,N+O+N₂ → NO+N₂,,,,,9.13E-33,0,298,,,87,62,"Campbell, I. M. and Gray, N. C., Chem. Phys. Lett., 18, 607, 1973."
210,O+O+N₂ → O₂+N₂,,,,,1.12E-32,0,196,,,87,62,"Campbell, I. M. and Gray, N. C., Chem. Phys. Lett., 18, 607, 1973."
211,O+O+N₂ → O₂+N₂,,,,,4.79E-33,0,298,,,87,62,"Campbell, I. M. and Gray, N. C., Chem. Phys. Lett., 18, 607, 1973."
212,O+O+O₂ → O₂+O₂,,,,,5.50E-34,0,3500,O₂ (S.T.),,88,62,"Loser, S. A., Dokl. Akad. Nauk SSSR, Ser. Khim., 120, 467, 1958."
213,O+O+H₂O → O₂+H₂O,,,,,2.51E-35,1,360,O₂ Discharge,,89,62,"Avramenko, L. I., Zh. Fiz. Khim., 23, 790, 1949."
214,O+O+H₂O → O₂+H₂O,,,,,2.51E-35,1,520,O₂ Discharge,,89,62,"Avramenko, L. I., Zh. Fiz. Khim., 23, 790, 1949."
215,O+O+M → O₂+M,,0.3,1.4,,3.72E-30,,300,,,91,65,"Johnston, H. S., Gas Phase Reactions of Neutral Oxygen Species, National
Standard Reference Data System - National Bureau of Standards 20, 1968. 13a. Arutyunov, V. S., Popov, L. S., and Chaikin, A. M., Kinet. Katal., 17, 286, 1976 (Russian); 17, 251, 1976 (English)."
216,O+O+M → O₂+M,,0.3,1.4,,3.72E-30,,8000,,,91,65,"Johnston, H. S., Gas Phase Reactions of Neutral Oxygen Species, National
Standard Reference Data System - National Bureau of Standards 20, 1968. 13a. Arutyunov, V. S., Popov, L. S., and Chaikin, A. M., Kinet. Katal., 17, 286, 1976 (Russian); 17, 251, 1976 (English)."
217,O+C+Ar/CO → OC+Ar/CO,,,,,9.13E-22,-3.08,7000,,,90,"65,71","Baulch, D. L., Drysdale, D. D., Duxbury, J., and Grant, S., Evaluated Kinetic Data for High Temperature Reactions, Vol. 3, Butterworths, London, 1976."
218,O+C+Ar/CO → OC+Ar/CO,,,,,9.13E-22,-3.08,14000,,,90,"65,71","Baulch, D. L., Drysdale, D. D., Duxbury, J., and Grant, S., Evaluated Kinetic Data for High Temperature Reactions, Vol. 3, Butterworths, London, 1976."
219,S+S+H₂S → S₂+H₂S,,,,,2.76E-33,0,300,H₂S Discharge,,94,70,"Fair, R. W. and Thrush, B. A., Trans. Faraday Soc., 65, 1208, 1969."
220,F+F+He → F₂+He,,,,,2.19E-33,0,293,F₂,,91a,"68,69","Arutyunov, V. S., Popov, L. S., and Chaikin, A. M., Kinet. Katal., 17, 286, 1976 (Russian); 17, 251, 1976 (English)."
221,F+F+He → F₂+He,,,,,6.03E-34,0,294,F₂ Discharge,,91b,68,"Ultec, C. J., Chem. Phys. Lett., 46, 366, 1977."
222,F+F+Ar → F₂+Ar,,,,,2.76E-34,0,1000,,,92,65,"Lloyd, A. C., Int. J. Chem. Kinet., 3, 39, 1971."
223,F+F+Ar → F₂+Ar,,,,,2.76E-34,0,2000,,,92,65,"Lloyd, A. C., Int. J. Chem. Kinet., 3, 39, 1971."
224,F+F+Ar → F₂+Ar,,,,,7.95E-35,0,295,,,93,72,"Ganguli, P. S. and Kaufman, M., Chem. Phys. Lett., 25, 221, 1974."
225,Cl+Cl+He → Cl₂+He,,,,,3.89E-33,0,298,Cl₂ (F.P.),,96,62,"Hippler, H. and Troe, J., Chem. Phys. Lett., 19, 607, 1973."
226,Cl+Cl+He → Cl₂+He,,,,,4.68E-33,0,298,Cl₂ (F.P.),,96a,73a,"Hippler, H. and Troe, J., Int. J. Chem. Kinet., 8, 501, 1976."
227,Cl+Cl+Ne → Cl₂+Ne,,,,,4.68E-33,0,298,Cl₂ (F.P.),,96,62,"Hippler, H. and Troe, J., Chem. Phys. Lett., 19, 607, 1973."
228,Cl+Cl+Ne → Cl₂+Ne,,,,,4.68E-33,0,298,Cl₂ (F.P.),,96b,73a,"Hippler, H. and Troe, J., Int. J. Chem. Kinet., 8, 501, 1976."
229,Cl+Cl+Ar → Cl₂+Ar,,,,,2.09E-32,0,298,Cl₂ (F.P.),,96,62,"Hippler, H. and Troe, J., Chem. Phys. Lett., 19, 607, 1973."
230,Cl+Cl+Ar → Cl₂+Ar,,,,,2.04E-32,0,298,Cl₂ (F.P.),,96,62,"Hippler, H. and Troe, J., Chem. Phys. Lett., 19, 607, 1973."
231,Cl+Cl+N₂ → Cl₂+N₂,,,,,4.17E-32,0,298,Cl₂ (F.P.),,96,62,"Hippler, H. and Troe, J., Chem. Phys. Lett., 19, 607, 1973."
232,Cl+Cl+N₂ → Cl₂+N₂,,,,,2.19E-32,0,298,Cl₂ (F.P.),,96a,73a,"Hippler, H. and Troe, J., Int. J. Chem. Kinet., 8, 501, 1976."
233,Cl+Cl+Cl₂ → Cl₂+Cl₂,,,,,5.50E-32,0,298,Cl₂ (F.P.),,96a,73a,"Hippler, H. and Troe, J., Int. J. Chem. Kinet., 8, 501, 1976."
234,Cl+Cl+CO₂ → Cl₂+CO₂,,,,,1.52E-31,0,298,Cl₂ (F.P.),,96,62,"Hippler, H. and Troe, J., Chem. Phys. Lett., 19, 607, 1973."
235,Cl+Cl+CO₂ → Cl₂+CO₂,,,,,3.32E-32,,298,Cl₂ (F.P.),,96a,73a,"Hippler, H. and Troe, J., Int. J. Chem. Kinet., 8, 501, 1976."
236,Cl+Cl+CF₄ → Cl₂+CF₄,,,,,1.52E-31,0,298,Cl₂ (F.P.),,96,62,"Hippler, H. and Troe, J., Chem. Phys. Lett., 19, 607, 1973."
237,Cl+Cl+CF₄ → Cl₂+CF₄,,,,,3.32E-32,0,298,Cl₂ (F.P.),,96a,73a,"Hippler, H. and Troe, J., Int. J. Chem. Kinet., 8, 501, 1976."
238,Cl+Cl+C₂F₆ → Cl₂+C₂F₆,,,,,5.76E-32,0,298,Cl₂ (F.P.),,96,62,"Hippler, H. and Troe, J., Chem. Phys. Lett., 19, 607, 1973."
239,Cl+Cl+C₂F₆ → Cl₂+C₂F₆,,,,,3.55E-32,0,298,Cl₂ (F.P.),,96a,73a,"Hippler, H. and Troe, J., Int. J. Chem. Kinet., 8, 501, 1976."
240,Cl+Cl+SiF₄ → Cl₂+SiF₄,,,,,1.59E-31,0,298,Cl₂ (F.P.),,96,62,"Hippler, H. and Troe, J., Chem. Phys. Lett., 19, 607, 1973."
241,Cl+Cl+SiF₄ → Cl₂+SiF₄,,,,,3.55E-32,0,298,Cl₂ (F.P.),,96a,73a,"Hippler, H. and Troe, J., Int. J. Chem. Kinet., 8, 501, 1976."
242,Cl+Cl+SF₆ → Cl₂+SF₆,,,,,5.76E-32,0,298,Cl₂ (F.P.),,96,62,"Hippler, H. and Troe, J., Chem. Phys. Lett., 19, 607, 1973."
243,Cl+Cl+SF₆ → Cl₂+SF₆,,,,,3.55E-32,0,298,Cl₂ (F.P.),,96a,73a,"Hippler, H. and Troe, J., Int. J. Chem. Kinet., 8, 501, 1976."
244,Br+Br+He → Br₂+He,,,,,2.82E-33,0,298,Br₂ discharge,,97,74,"Clyne, M. A. A. and Woon-Fat, A. R., J. Chem. Soc., Faraday Trans. 2, 69, 412, 1973."
245,Br+Br+He → Br₂+He,,,,,3.24E-33,0,300,Br₂ (F.P.),,98,75,"Ip, J. K. K. and Burns, G., J. Chem. Phys., 51, 3414, 1969."
246,Br+Br+Ne → Br₂+Ne,,,,,4.08E-33,0,300,Br₂ (F.P.),,98,75,"Ip, J. K. K. and Burns, G., J. Chem. Phys., 51, 3414, 1969."
247,Br+Br+Ar → Br₂+Ar,,,,,9.34E-33,0,298,Br₂ discharge,,97,74,"Clyne, M. A. A. and Woon-Fat, A. R., J. Chem. Soc., Faraday Trans. 2, 69, 412, 1973."
248,Br+Br+Ar → Br₂+Ar,,,,,6.61E-33,0,300,Br₂ (F.P.),,98,75,"Ip, J. K. K. and Burns, G., J. Chem. Phys., 51, 3414, 1969."
249,Br+Br+Kr → Br₂+Kr,,,,,8.52E-33,0,300,Br₂ (F.P.),,98,75,"Ip, J. K. K. and Burns, G., J. Chem. Phys., 51, 3414, 1969."
250,Br+Br+Xe → Br₂+Xe,,,,,1.12E-32,0,300,Br₂ (F.P.),,99,75,"Chang, S. K., Clarke, A. G., and Burns, G., J. Chem. Phys., 54, 1835, 1971."
251,Br+Br+N₂ → Br₂+N₂,,,,,8.72E-33,0,300,Br₂ (F.P.),,98,75,"Ip, J. K. K. and Burns, G., J. Chem. Phys., 51, 3414, 1969."
252,Br+Br+N₂ → Br₂+N₂,,,,,8.33E-33,0,298,"O+Br₂→BrO+Br
O+BrO→O₂+Br
",,97,74,"Clyne, M. A. A. and Woon-Fat, A. R., J. Chem. Soc., Faraday Trans. 2, 69, 412, 1973."
253,Br+Br+O₂ → Br₂+O₂,,,,,1.20E-32,0,298,"O+Br₂→BrO+Br
O+BrO→O₂+Br
",,97,74,"Clyne, M. A. A. and Woon-Fat, A. R., J. Chem. Soc., Faraday Trans. 2, 69, 412, 1973."
254,Br+Br+O₂ → Br₂+O₂,,,,,1.62E-32,0,300,Br₂ (F.P.),,98,75,"Ip, J. K. K. and Burns, G., J. Chem. Phys., 51, 3414, 1969."
255,Br+Br+Br₂ → Br₂+Br₂,,,,,8.33E-32,0,298,Br₂ discharge,,97,74,"Clyne, M. A. A. and Woon-Fat, A. R., J. Chem. Soc., Faraday Trans. 2, 69, 412, 1973."
256,Br+Br+HBr → Br₂+HBr,,,,,2.29E-33,0,1417,flame,,100,62,"Horie, O. and Frazier, G. C., Jr., J. Phys. Chem., 75, 3046, 1971."
257,Br+Br+CF₄ → Br₂+CF₄,,,,,3.09E-32,0,300,Br₂ (F.P.),,99,75,"Chang, S. K., Clarke, A. G., and Burns, G., J. Chem. Phys., 54, 1835, 1971."
258,Br+Br+CH₃Cl → Br₂+CH₃Cl,,,,,9.56E-32,0,294,Br₂ (F.P.),,101,62,"Basila, J. R. and Strong, R. L., J. Am. Chem. Soc., 96, 701, 1974."
259,Br+Br+C₂H₅Cl → Br₂+C₂H₅Cl,,,,,1.48E-31,0,294,Br₂ (F.P.),,101,62,"Basila, J. R. and Strong, R. L., J. Am. Chem. Soc., 96, 701, 1974."
260,Br+Br+CH₃Br → Br₂+CH₃Br,,,,,3.32E-31,0,294,Br₂ (F.P.),,101,62,"Basila, J. R. and Strong, R. L., J. Am. Chem. Soc., 96, 701, 1974."
261,Br+Br+C₂H₅Br → Br₂+C₂H₅Br,,,,,6.93E-31,0,294,Br₂ (F.P.),,101,62,"Basila, J. R. and Strong, R. L., J. Am. Chem. Soc., 96, 701, 1974."
262,Br+Br+C₆H₆ → Br₂+C₆H₆,,,,,1.45E-30,0,294,Br₂ (F.P.),,101,76,"Basila, J. R. and Strong, R. L., J. Am. Chem. Soc., 96, 701, 1974."
263,Br+Br+SF₆ → Br₂+SF₆,,,,,3.17E-32,0,300,Br₂ (F.P.),,99,75,"Chang, S. K., Clarke, A. G., and Burns, G., J. Chem. Phys., 54, 1835, 1971."
264,I+I+He → I₂+He,,,,,7.77E-33,0,206,I₂ (F.P),,102a,62,"Chang, H. W. and Burns, G., J. Chem. Phys., 64, 349, 1976."
265,I+I+Ar → I₂+Ar,,,,,8.33E-33,0,298,I₂ (F.P),,103,62,"Burns, G., Leroy, R. J., Morriss, D. G., and Blake, J. A., Proc. R. Soc. London, Ser. A, 315, 81, 1971."
266,I+I+Ar → I₂+Ar,,,,,2.19E-32,0,206,I₂ (F.P),,102a,62,"Chang, H. W. and Burns, G., J. Chem. Phys., 64, 349, 1976."
267,I+I+Ar → I₂+Ar,,,,,8.27E-33,-1.56,500,I₂ (S.T),,102b,62,"Beck, W. H. and Mackie, J. C., Chem. Phys. Lett., 44, 444, 1976."
268,I+I+Ar → I₂+Ar,,,,,8.27E-33,-1.56,1450,I₂ (F.P),,102b,62,"Beck, W. H. and Mackie, J. C., Chem. Phys. Lett., 44, 444, 1976."
269,I+I+Xe → I₂+Xe,,,,,4.37E-32,0,206,I₂ (F.P),,102a,62,"Chang, H. W. and Burns, G., J. Chem. Phys., 64, 349, 1976."
270,I+I+H₂ → I₂+H₂,,,,,2.14E-32,0,206,I₂ (F.P),,102a,62,"Chang, H. W. and Burns, G., J. Chem. Phys., 64, 349, 1976."
271,I+I+D₂ → I₂+D₂,,,,,2.14E-32,0,206,I₂ (F.P),,102a,62,"Chang, H. W. and Burns, G., J. Chem. Phys., 64, 349, 1976."
272,I+I+NO → I₂+NO,,,,,6.61E-29,0,294,CH₃I (F.P.),,104,62,"Mayer, R. T., J. Phys. Chem., 78, 878, 1974."
273,I+I+ICl → I₂+ICl,,,,,2.46E-30,0,325,ICl (F.P.),,105,77,"Maier, H. N. and Lampe, F. W., J. Phys. Chem., 77, 430, 1973."
274,I+I+DCl → I₂+DCl,,,,,4.27E-32,0,300,I₂ (F.P),,106,62,"Chang, H. W. and Burns, G., J. Chem. Phys., 62, 2426, 1975."
