Reaction,(E/R)/K,A,k,n,Temp./K,Radical Source,System,Reference,Notes
C₂H₅+O₂+M→C₂H₅O₂+M,,,7.25E-36,0,295,Cl+C₂H₆+C₂H₅+HCl,Direct,42,"18,65,66"
C₂H₅+O₂+M→C₂H₅O₂+M,,,2.01E-28,-3.8,200-300,,,58,"86,87"
C₂H₅+O₂+M→C₂H₅O₂+M,,,8.72E-36,0,200-300,,,58,"30,44,52"
CH₃CO+O₂ + M → CH₃CO₃+M,,,3.32E-36,0,298,CH₃COCH₃ (F.P.),Direct,37,"39,44,50,51"
CH₃CO+O₂ + M → CH₃CO₃+M,,,8.72E-36,0,200-300,,,58,"30,44,52"
CH₃CO+O₂ + M → CH₃CO₃+M,,,3.47E-36,0,298,,,58,"30,44,92"
C₃H₅+O₂+M→C₃H₅O₂+M,,,"[1.3505112156E-37,6.3168155424E-37]",0,382-453,"Hexa-1,5-diene (Laser F.P.) ",Direct,61,"44,88"
C₃H₅+O₂+M→C₃H₅O₂+M,,,2.63E-37,0,348,"Hexa-1,5-diene (Laser F.P.) ",Direct,61,"44,89"
C₃H₅+O₂+M→C₃H₅O₂+M,,,,,,,,,
n-C₃H₇+O₂+M→n-C₃H₇O₂+M,,,1.10E-35,0,200-300,,,58,"44,52,86"
i-C₃H₇+O₂+M→i-C₃H₇O₂+M,,,2.51E-35,0,200-300,,,58,"44,52,86"
n-C₄H₉+O₂+M → n-C₄H₉O₂ + M,,,1.23E-35,0,300,n-C₄H₉I (F.P.),Direct,38,"44,50,52"
s-C₄H₉+O₂+M → s-C₄H₉O₂ + M,,,2.76E-35,0,300,s-C₄H₉I (F.P.),Direct,38,"44,50,52"
t-C₄H₉+O₂+M → t-C₄H₉O₂ + M,,,3.89E-35,0,300,t-C₄H₉I (F.P.),Direct,38,"44,50,52"
CH₃CH(OH)CHCH₃ + O₂ +M →CH₃CH(OH)CHO₂CH₃+M,,,4.37E-35,0,300,CH₃CH(OH)CHICH₃ (F.P.),Direct,38,"44,50,52"
C₆H₅CH₂+O₂+M→C₆H₅CH₂O₂+M,,,1.74E-36,0,295-372,C₆H₅CH₂Cl (Laser P),Direct,57,"44,85,91"
C₆H₅CH₂+O₂+M→C₆H₅CH₂O₂+M,,,1.66E-36,0,298,C₆H₅CH₂X (F.P.),Direct,62,"44,90"
C₆H₅CO+O₂+M→C₆H₅CO₃+M,,,9.56E-36,0,Room Temp.,C₆H₅COCH₃ (F.P.),Direct,37,"39,44,50,51"
o-CH₃C₆H₄CH₂+O₂+M→o-CH₃C₆H₄CH₂O₂+M,,,2.00E-36,0,298,o-CH₃C₆H₄CH₂X (F.P.),Direct,62,"44,90"
p-CH₃C₆H₄CH₂+O₂+M→p-CH₃C₆H₄CH₂O₂+M,,,1.82E-36,0,298,p-CH₃C₆H₄CH₂X (F.P.),Direct,62,"44,90"
OH+SO₂+N₂→HSO₃+N₂,,,2.76E-31,0,298,,,23,"30,31"
OH+SO₂+N₂→HSO₃+N₂,,,1.38E-36,0,298,H₂O (F.P.),Direct,36,"44,48,49"
OH+SO₂+N₂→HSO₃+N₂,,,2.51E-31,0,298,H+NO₂ → OH + NO,Direct,49,"48,77"
OH+SO₂+N₂→HSO₃+N₂,,,4.96E-31,-3.3,200-300,,,58,"30,64"
OH+SO₂+O₂→HSO₃+O₂,,,2.46E-31,0,298,H+NO₂ → OH + NO,Direct,49,"48,77"
OH+SO₂+O₂→HSO₃+O₂,,,4.96E-31,-3.3,200-300,,,58,"30,64"
OH+SO₂+He→HSO₃+He,-913,3.63E-33,,0,261-414,H+NO₂ → OH + NO,Direct,49,"48,77"
OH+SO₂+He→HSO₃+He,,,7.91E-32,-2.85,261-414,H+NO₂ → OH + NO,Direct,49,"48,77"
OH+SO₂+Ar→HSO₃+Ar,-1190,1.91E-38,,0,298-424,H₂O (F.P.),Direct,22,"23,24,26"
OH+SO₂+Ar→HSO₃+Ar,,,1.10E-31,0,298,H+NO₂ → OH + NO,Direct,49,"48,77"
OH+SO₂+CO₂→HSO₃+CO₂,,,1.20E-30,0,298,H+NO₂ → OH + NO,Direct,49,"48,77"
OH+SO₂+SO₂→HSO₃+SO₂,-908,5.25E-32,,0,261-414,H+NO₂ → OH + NO,Direct,49,"48,77"
OH+SO₂+SO₂→HSO₃+SO₂,,,1.15E-30,-2.78,261-414,H+NO₂ → OH + NO,Direct,49,"48,77"
OH+SO₂+SF₆→HSO₃+SF₆,-810,6.17E-38,,0,298-424,H₂O (F.P.),Direct,22,"23,25,27,28"
OH+SO₂+SF₆→HSO₃+SF₆,-750,2.09E-37,,0,298-424,H₂O (F.P.),Direct,22,"23,24,27,29"
OH+SO₂+M→HSO₃+M,,,1.20E-36,0,297,HONO (P),Relative,41,"44,63"
OH+SO₂+M→HSO₃+M,,,3.03E-31,-3.4,200-300,,,59,"30,57,64"
OH+SO₂+M→HSO₃+M,,,3.32E-36,0,200-300,,,59,"30,44,52,57"
OH+SO₂+M→HSO₃+M,,,3.47E-36,0,200-300,,,58,"30,44,52"
HO₂+CO+He→HCO₃+He,,,<=4.3701686298E-34,0,298,H₂O₂ discharge or F+H₂O₂,Relative,8,8
HO₂+SO₂+He→HO₂SO₂+He,,,<=4.3701686298E-34,0,298,H₂O₂ discharge or F+H₂O₂,Relative,8,8
NH+N₂ +N₂ → NH₃+N₂,,,<1.0977367285E-38,0,296,NH₃ (Pulsed P),Direct,45,73
NH+NH₃ +He → N₂H₄+He,,,<2.7573899936E-36,0,296,NH₃ (Pulsed P),Direct,45,73
NH+NH₃ +Ar → N₂H₄+Ar,,,<5.5017163419E-35,0,296,NH₃ (Pulsed P),Direct,45,73
NH+NH₃ +N₂ → N₂H₄+N₂,,,<5.5017163419E-35,0,296,NH₃ (Pulsed P),Direct,45,73
NH+NH₃ +NH₃  → N₂H₄+NH₃ ,,,<2.7573899936E-33,0,296,NH₃ (Pulsed P),Direct,45,73
2NO+O₂→2NO₂,,,4.68E-38,0,296,NO/O₂/N₂ (T),Direct,52,79
2NO+O₂→2NO₂,-880,,,,268,NO/O₂/N₂ (T),Direct,52,79
2NO+Cl₂→2ClNO,2500,1.12E-37,,,250,,,63,30
2NO+O₂→2NO₂,-880,,,,296,NO/O₂/N₂ (T),Direct,52,79
2NO+Cl₂→2ClNO,2500,1.12E-37,,,500,,,63,30
2NO+Br₂→2BrNO,,,8.72E-39,0,300,NO/Br₂ (T),Direct,4,4
2NO+Br₂→2BrNO,630,1.32E-37,,,270,,,63,30
2NO+Br₂→2BrNO,630,1.32E-37,,,330,,,63,30
2NO₂+H₂O→HNO₂+HNO₃,,,8.72E-39,0,296,,,12,12
2NO₂+CH₃OH→CH₃ONO+HNO₃,,,5.76E-37,0,298,NO₂/CH₃OH/O₂/N₂ (T),Direct,48,68
2NO₂+CH₃OH→CH₃ONO+HNO₃,,,5.76E-37,0,298,NO₂/CH₃OH/O₂/N₂ (T),Direct,48,68
S₂+S₂+H₂S→S₄+H₂S,,,2.19E-29,0,295,H₂S (Pulse Radiolysis),See Notes,7,7
